GEOID,median_home_value,median_home_value_owner,median_gross_rent_x,median_year_built,median_hh_income,monthly_owner_cost,median_gross_rent_y,avg_housing_cost,ht_cost_very_low_income,ht_cost_low_income,ht_cost_moderate_income,affordability_pctile_very_low,affordability_pctile_low,affordability_pctile_moderate,lmi_population,total_population,lmi_pct,hh_at_30pct_ami,hh_at_50pct_ami,hh_at_80pct_ami,cost_burdened_30pct_ami,cost_burdened_50pct_ami,cost_burdened_80pct_ami,affordable_units_30pct_ami,affordable_units_50pct_ami
48439113519,275200.0,275700.0,1366.0,1990.0,79688.0,1519.0,1279.0,1415.546704,50.36631134,104.1859502,58.30688652,37.39994608,1.989486454,17.07424181,1275.0,5590.0,22.81,120.0,350.0,705.0,105.0,320.0,590.0,0.0,15.0
48439113520,198000.0,209500.0,1247.0,1992.0,68409.0,1594.0,1114.0,1269.935829,47.74110336,106.3396472,57.64245149,40.42543078,4.188948307,13.99745989,815.0,5105.0,15.96,200.0,275.0,665.0,155.0,230.0,455.0,0.0,0.0
48439113521,,,1138.0,1992.0,,,,,,,,,,,,,,75.0,275.0,800.0,35.0,235.0,610.0,0.0,0.0
48439113522,285700.0,297600.0,1180.0,1996.0,,,,,,,,,,,,,,60.0,190.0,285.0,60.0,190.0,280.0,0.0,0.0
48439113607,171200.0,164600.0,979.0,1975.0,46410.0,1328.0,922.0,1121.309091,47.95317627,101.2284397,56.16522412,63.78439394,7.013636364,27.02835227,2150.0,4575.0,46.99,175.0,445.0,865.0,160.0,310.0,535.0,0.0,20.0
48439113610,,,,,149315.0,3213.0,1581.0,3075.318545,56.3660572,118.3771122,65.18709107,16.13276768,1.743709091,7.283587879,475.0,10495.0,4.53,,,,,,,,
48439113611,287800.0,296900.0,1755.0,1978.0,101439.0,1803.0,1810.0,1803.443419,53.67795281,105.359535,60.11449269,30.19405494,2.115621156,9.74403444,605.0,4405.0,13.73,85.0,200.0,375.0,40.0,150.0,245.0,4.0,14.0
48439113612,319000.0,306200.0,1218.0,1987.0,96757.0,1819.0,1220.0,1787.404396,53.60817965,105.8545612,60.21685427,30.3567033,3.497582418,13.26285714,650.0,4130.0,15.74,140.0,245.0,435.0,100.0,180.0,270.0,10.0,45.0
48439113613,230500.0,232700.0,968.0,1980.0,74464.0,1529.0,797.0,1401.655238,52.05853949,103.5433688,58.80693644,39.1592381,4.532825397,14.91092063,870.0,4315.0,20.16,115.0,170.0,565.0,85.0,130.0,175.0,0.0,10.0
48439113618,182100.0,170600.0,1017.0,1983.0,67528.0,1433.0,824.0,1245.740642,50.53096517,103.6824475,58.20552695,46.16818182,4.13083779,21.14777184,1495.0,6225.0,24.02,10.0,420.0,760.0,10.0,335.0,410.0,0.0,25.0
